BusinessEntityID,DepartmentID,ShiftID,StartDate,EndDate,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,OrganizationLevel,PersonType,FirstName,LastName,DepartmentName,DepartmentGroup,RateChangeDate,Rate,PayFrequency,ShiftName,ShiftStart,ShiftEnd,AddressID,City,PostalCode,PhoneNumber,PhoneNumberTypeID,PhoneType
1,16,1,1/14/2009,NULL,Chief Executive Officer,1/29/1969,S,M,1/14/2009,1,99,69,NULL,EM,Ken,Sánchez,Executive,Executive General and Administration,1/14/2009,$125.50,2,Day,7:00:00 AM,3:00:00 PM,249,Newport Hills,98006,697-555-0142,1,Cell
2,1,1,1/31/2008,NULL,Vice President of Engineering,8/1/1971,S,F,1/31/2008,1,1,20,1,EM,Terri,Duffy,Engineering,Research and Development,1/31/2008,$63.46,2,Day,7:00:00 AM,3:00:00 PM,293,Renton,98055,819-555-0175,3,Work
3,1,1,11/11/2007,NULL,Engineering Manager,11/12/1974,M,M,11/11/2007,1,2,21,2,EM,Roberto,Tamburello,Engineering,Research and Development,11/11/2007,$43.27,2,Day,7:00:00 AM,3:00:00 PM,224,Redmond,98052,212-555-0187,1,Cell
4,1,1,12/5/2007,5/30/2010,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,3,EM,Rob,Walters,Engineering,Research and Development,12/5/2007,$8.62,2,Day,7:00:00 AM,3:00:00 PM,11387,Minneapolis,55402,612-555-0100,1,Cell
4,1,1,12/5/2007,5/30/2010,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,3,EM,Rob,Walters,Engineering,Research and Development,5/31/2010,$23.72,2,Day,7:00:00 AM,3:00:00 PM,11387,Minneapolis,55402,612-555-0100,1,Cell
4,1,1,12/5/2007,5/30/2010,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,3,EM,Rob,Walters,Engineering,Research and Development,12/15/2011,$29.85,2,Day,7:00:00 AM,3:00:00 PM,11387,Minneapolis,55402,612-555-0100,1,Cell
4,2,1,5/31/2010,NULL,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,3,EM,Rob,Walters,Tool Design,Research and Development,12/15/2011,$29.85,2,Day,7:00:00 AM,3:00:00 PM,11387,Minneapolis,55402,612-555-0100,1,Cell
4,2,1,5/31/2010,NULL,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,3,EM,Rob,Walters,Tool Design,Research and Development,5/31/2010,$23.72,2,Day,7:00:00 AM,3:00:00 PM,11387,Minneapolis,55402,612-555-0100,1,Cell
4,2,1,5/31/2010,NULL,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,3,EM,Rob,Walters,Tool Design,Research and Development,12/5/2007,$8.62,2,Day,7:00:00 AM,3:00:00 PM,11387,Minneapolis,55402,612-555-0100,1,Cell
5,1,1,1/6/2008,NULL,Design Engineer,9/27/1952,M,F,1/6/2008,1,5,22,3,EM,Gail,Erickson,Engineering,Research and Development,1/6/2008,$32.69,2,Day,7:00:00 AM,3:00:00 PM,190,Bellevue,98004,849-555-0139,1,Cell
6,1,1,1/24/2008,NULL,Design Engineer,3/11/1959,M,M,1/24/2008,1,6,23,3,EM,Jossef,Goldberg,Engineering,Research and Development,1/24/2008,$32.69,2,Day,7:00:00 AM,3:00:00 PM,286,Renton,98055,122-555-0189,3,Work
7,6,1,2/8/2009,NULL,Research and Development Manager,2/24/1987,M,M,2/8/2009,1,61,50,3,EM,Dylan,Miller,Research and Development,Research and Development,2/8/2009,$50.48,2,Day,7:00:00 AM,3:00:00 PM,49,Kenmore,98028,181-555-0156,3,Work
8,6,1,12/29/2008,NULL,Research and Development Engineer,6/5/1986,S,F,12/29/2008,1,62,51,4,EM,Diane,Margheim,Research and Development,Research and Development,12/29/2008,$40.87,2,Day,7:00:00 AM,3:00:00 PM,230,Everett,98201,815-555-0138,1,Cell
9,6,1,1/16/2009,NULL,Research and Development Engineer,1/21/1979,M,F,1/16/2009,1,63,51,4,EM,Gigi,Matthew,Research and Development,Research and Development,1/16/2009,$40.87,2,Day,7:00:00 AM,3:00:00 PM,187,Bellevue,98004,185-555-0186,1,Cell
10,6,1,5/3/2009,NULL,Research and Development Manager,11/30/1984,M,M,5/3/2009,1,16,64,4,EM,Michael,Raheem,Research and Development,Research and Development,5/3/2009,$42.48,2,Day,7:00:00 AM,3:00:00 PM,11386,San Francisco,94109,330-555-2568,3,Work
11,2,1,12/5/2010,NULL,Senior Tool Designer,1/17/1978,S,M,12/5/2010,0,7,23,3,EM,Ovidiu,Cracium,Tool Design,Research and Development,12/5/2010,$28.85,2,Day,7:00:00 AM,3:00:00 PM,32505,Kenmore,98028,719-555-0181,1,Cell
12,2,1,12/11/2007,NULL,Tool Designer,7/29/1959,M,M,12/11/2007,0,9,24,4,EM,Thierry,D'Hers,Tool Design,Research and Development,12/11/2007,$25.00,2,Day,7:00:00 AM,3:00:00 PM,1,Bothell,98011,168-555-0183,3,Work
13,2,1,12/23/2010,NULL,Tool Designer,5/28/1989,M,F,12/23/2010,0,8,24,4,EM,Janice,Galvin,Tool Design,Research and Development,12/23/2010,$25.00,2,Day,7:00:00 AM,3:00:00 PM,219,Redmond,98052,473-555-0117,3,Work
14,1,1,12/30/2010,NULL,Senior Design Engineer,6/16/1979,S,M,12/30/2010,1,3,21,3,EM,Michael,Sullivan,Engineering,Research and Development,12/30/2010,$36.06,2,Day,7:00:00 AM,3:00:00 PM,295,Renton,98055,465-555-0156,1,Cell
15,1,1,1/18/2011,NULL,Design Engineer,5/2/1961,M,F,1/18/2011,1,4,22,3,EM,Sharon,Salavaria,Engineering,Research and Development,1/18/2011,$32.69,2,Day,7:00:00 AM,3:00:00 PM,287,Renton,98055,970-555-0138,1,Cell
16,4,1,7/15/2009,NULL,Marketing Manager,3/19/1975,S,M,12/20/2007,1,40,40,1,EM,David,Bradley,Marketing,Sales and Marketing,12/20/2007,$24.00,2,Day,7:00:00 AM,3:00:00 PM,214,Redmond,98052,913-555-0172,3,Work
16,4,1,7/15/2009,NULL,Marketing Manager,3/19/1975,S,M,12/20/2007,1,40,40,1,EM,David,Bradley,Marketing,Sales and Marketing,7/15/2009,$28.75,2,Day,7:00:00 AM,3:00:00 PM,214,Redmond,98052,913-555-0172,3,Work
